Track_ID,Aircraft_ID,Track_Status,Ever_Confirmed,Duration,Replies_Received,Replies_Missed,Average_Range_M,Average_Signal_Strength
2,FALSE-7,Lost,False,5,1,5,1076.781493099594,0.168838991883534
3,FALSE-11,Lost,False,5,1,5,1518.6067427762239,0.14174381154694746
4,FALSE-15,Lost,False,5,1,5,1037.5349975224804,0.18859087360544213
5,FALSE-18,Lost,False,5,1,5,1719.558880986553,0.11793727657300491
6,FALSE-41,Lost,False,5,1,5,1499.2468027767748,0.13521652442854787
7,FALSE-42,Lost,False,5,1,5,1755.8578394900246,0.31677108069828575
8,FALSE-55,Lost,False,5,1,5,1419.6331307538792,0.1647511112864404
9,FALSE-59,Lost,False,5,1,5,911.9081027132197,0.5053331394944346
10,FALSE-62,Lost,False,5,1,5,389.383337339962,0.6008691915730336
11,FALSE-94,Lost,False,5,1,5,1878.7320970203011,0.15561126507338865
12,FALSE-95,Lost,False,5,1,5,1943.288951200299,0.12432905543761141
13,FALSE-105,Lost,False,5,1,5,1002.2453777078837,0.2648275207709084
14,FALSE-109,Lost,False,5,1,5,1508.3450132780295,0.23371830409728114
15,FALSE-111,Lost,False,5,1,5,1772.097822586113,0.22281843932549117
16,FALSE-114,Lost,False,5,1,5,1565.9722545577727,0.1456435263889368
17,FALSE-115,Lost,False,5,1,5,1074.9894816547157,0.3397231416849359
18,FALSE-116,Lost,False,5,1,5,629.5040886619034,0.6933177294866109
19,FALSE-135,Lost,False,5,1,5,1531.782431843906,0.16546243524760684
20,FALSE-139,Lost,False,5,1,5,1843.6904008999854,0.1281149683511703
21,FALSE-181,Lost,False,5,1,5,1410.2246373472155,0.25451524104845
23,FALSE-253,Lost,False,5,1,5,1153.0535744260299,0.38128032134422474
24,FALSE-272,Lost,False,5,1,5,1793.712603012985,0.193427472430314
22,TARGET_4,Lost,True,5100,4703,398,154.37596188540078,0.9766529618963744
26,FALSE-294,Lost,False,5,1,5,1884.5301378539239,0.1865989373040125
27,FALSE-324,Lost,False,5,1,5,783.792109442328,0.6572534251151531
28,FALSE-328,Lost,False,5,1,5,1799.9383416147793,0.30262393756162065
29,FALSE-337,Lost,False,5,1,5,1688.0002891163804,0.22883993107583292
30,FALSE-386,Lost,False,5,1,5,1662.4201639787145,0.24626678228176224
31,FALSE-403,Lost,False,5,1,5,1554.8224999057447,0.33268588042049413
32,FALSE-482,Lost,False,5,1,5,1924.4998201452777,0.21821706935980875
33,FALSE-503,Lost,False,5,1,5,1430.9673614140736,0.5069917437877693
34,FALSE-504,Lost,False,5,1,5,1830.979998511746,0.1596995411472913
35,FALSE-530,Lost,False,5,1,5,1910.7968850857976,0.16611400322831693
36,FALSE-545,Lost,False,5,1,5,1768.0722702481619,0.17429355980233555
37,FALSE-585,Lost,False,5,1,5,1761.8932078477833,0.15316400807204658
1,TARGET_2,Confirmed,True,,,,239.33462625243982,0.9458260404024902
25,TARGET_4,Confirmed,True,,,,159.68892832967524,0.9754631339243792
